vul_type,vul_name,url,RepoAudit,CodeQL,Semgrep,Knighter
CWE-401,linux-aa7253c2393f6dcd6a1468b0792f6da76edad917^,https://github.com/torvalds/linux/commit/aa7253c2393f6dcd6a1468b0792f6da76edad917,False,False,False,False
CWE-401,linux-29eb31542787e1019208a2e1047bb7c76c069536^,https://github.com/torvalds/linux/commit/29eb31542787e1019208a2e1047bb7c76c069536,False,False,False,False
CWE-401,linux-5f9562ebe710c307adc5f666bf1a2162ee7977c0^,https://github.com/torvalds/linux/commit/5f9562ebe710c307adc5f666bf1a2162ee7977c0,False,False,False,False
CWE-401,linux-45c1380358b12bf2d1db20a5874e9544f56b34ab^,https://github.com/torvalds/linux/commit/45c1380358b12bf2d1db20a5874e9544f56b34ab,False,False,False,False
CWE-401,linux-c0a333d842ef67ac04adc72ff79dc1ccc3dca4ed^,https://github.com/torvalds/linux/commit/c0a333d842ef67ac04adc72ff79dc1ccc3dca4ed,False,False,False,False
CWE-401,linux-2289adbfa559050d2a38bcd9caac1c18b800e928^,https://github.com/torvalds/linux/commit/2289adbfa559050d2a38bcd9caac1c18b800e928,False,False,False,False
CWE-401,linux-ffdde5932042600c6807d46c1550b28b0db6a3bc^,https://github.com/torvalds/linux/commit/ffdde5932042600c6807d46c1550b28b0db6a3bc,False,False,False,False
CWE-401,linux-ab612b1daf415b62c58e130cb3d0f30b255a14d0^,https://github.com/torvalds/linux/commit/ab612b1daf415b62c58e130cb3d0f30b255a14d0,False,False,False,False
CWE-401,linux-9c0530e898f384c5d279bfcebd8bb17af1105873^,https://github.com/torvalds/linux/commit/9c0530e898f384c5d279bfcebd8bb17af1105873,False,False,False,False
CWE-401,linux-b4b814fec1a5a849383f7b3886b654a13abbda7d^,https://github.com/torvalds/linux/commit/b4b814fec1a5a849383f7b3886b654a13abbda7d,False,False,False,False
CWE-401,linux-0f4f199443faca715523b0659aa536251d8b978f^,https://github.com/torvalds/linux/commit/0f4f199443faca715523b0659aa536251d8b978f,False,False,False,False
CWE-401,linux-d10dcb615c8e29d403a24d35f8310a7a53e3050c^,https://github.com/torvalds/linux/commit/d10dcb615c8e29d403a24d35f8310a7a53e3050c,False,False,False,False
CWE-401,linux-db8fd2cde93227e566a412cf53173ffa227998bc^,https://github.com/torvalds/linux/commit/db8fd2cde93227e566a412cf53173ffa227998bc,False,False,False,False
CWE-401,linux-1399c59fa92984836db90538cf92397fe7caaa57^,https://github.com/torvalds/linux/commit/1399c59fa92984836db90538cf92397fe7caaa57,False,False,False,False
CWE-401,linux-fc739a058d99c9297ef6bfd923b809d85855b9a9^,https://github.com/torvalds/linux/commit/fc739a058d99c9297ef6bfd923b809d85855b9a9,False,False,False,False
CWE-401,linux-128c66429247add5128c03dc1e144ca56f05a4e2^,https://github.com/torvalds/linux/commit/128c66429247add5128c03dc1e144ca56f05a4e2,False,False,False,False
CWE-401,linux-57be09c6e8747bf48704136d9e3f92bfb93f5725^,https://github.com/torvalds/linux/commit/57be09c6e8747bf48704136d9e3f92bfb93f5725,False,False,False,False
CWE-401,linux-055e547478a11a6360c7ce05e2afc3e366968a12^,https://github.com/torvalds/linux/commit/055e547478a11a6360c7ce05e2afc3e366968a12,False,False,False,False
CWE-401,linux-a2cdd07488e666aa93a49a3fc9c9b1299e27ef3c^,https://github.com/torvalds/linux/commit/a2cdd07488e666aa93a49a3fc9c9b1299e27ef3c,False,False,False,False
CWE-401,linux-057b8945f78f76d0b04eeb5c27cd9225e5e7ad86^,https://github.com/torvalds/linux/commit/057b8945f78f76d0b04eeb5c27cd9225e5e7ad86,False,False,False,False
CWE-401,linux-d3b0ffa1d75d5305ebe34735598993afbb8a869d^,https://github.com/torvalds/linux/commit/d3b0ffa1d75d5305ebe34735598993afbb8a869d,False,False,False,False
CWE-401,linux-34b3be18a04ecdc610aae4c48e5d1b799d8689f6^,https://github.com/torvalds/linux/commit/34b3be18a04ecdc610aae4c48e5d1b799d8689f6,False,False,False,False
CWE-401,linux-3f93616951138a598d930dcaec40f2bfd9ce43bb^,https://github.com/torvalds/linux/commit/3f93616951138a598d930dcaec40f2bfd9ce43bb,False,False,False,False
CWE-401,linux-d563131ef23cbc756026f839a82598c8445bc45f^,https://github.com/torvalds/linux/commit/d563131ef23cbc756026f839a82598c8445bc45f,False,False,False,False
CWE-401,linux-d563131ef23cbc756026f839a82598c8445bc45f^,https://github.com/torvalds/linux/commit/d563131ef23cbc756026f839a82598c8445bc45f,False,False,False,False
CWE-401,linux-0e62395da2bd5166d7c9e14cbc7503b256a34cb0^,https://github.com/torvalds/linux/commit/0e62395da2bd5166d7c9e14cbc7503b256a34cb0,False,False,False,False
CWE-401,linux-96c5c6e6a5b6db592acae039fed54b5c8844cd35^,https://github.com/torvalds/linux/commit/96c5c6e6a5b6db592acae039fed54b5c8844cd35,False,False,False,False
CWE-401,linux-6402939ec86eaf226c8b8ae00ed983936b164908^,https://github.com/torvalds/linux/commit/6402939ec86eaf226c8b8ae00ed983936b164908,False,False,False,False
CWE-401,linux-78beef629fd95be4ed853b2d37b832f766bd96ca^,https://github.com/torvalds/linux/commit/78beef629fd95be4ed853b2d37b832f766bd96ca,False,False,False,False
CWE-401,linux-8ce39eb5a67aee25d9f05b40b673c95b23502e3e^,https://github.com/torvalds/linux/commit/8ce39eb5a67aee25d9f05b40b673c95b23502e3e,False,False,False,False
CWE-401,linux-8572cea1461a006bce1d06c0c4b0575869125fa4^,https://github.com/torvalds/linux/commit/8572cea1461a006bce1d06c0c4b0575869125fa4,False,False,False,False
CWE-401,linux-104c307147ad379617472dd91a5bcb368d72bd6d^,https://github.com/torvalds/linux/commit/104c307147ad379617472dd91a5bcb368d72bd6d,False,False,False,False
CWE-401,linux-b8d17e7d93d2beb89e4f34c59996376b8b544792^,https://github.com/torvalds/linux/commit/b8d17e7d93d2beb89e4f34c59996376b8b544792,False,False,False,False
CWE-401,linux-4a9d46a9fe14401f21df69cea97c62396d5fb053^,https://github.com/torvalds/linux/commit/4a9d46a9fe14401f21df69cea97c62396d5fb053,False,False,False,False
CWE-401,linux-a21b7f0cff1906a93a0130b74713b15a0b36481d^,https://github.com/torvalds/linux/commit/a21b7f0cff1906a93a0130b74713b15a0b36481d,False,False,False,False
CWE-401,linux-728c1e2a05e4b5fc52fab3421dce772a806612a2^,https://github.com/torvalds/linux/commit/728c1e2a05e4b5fc52fab3421dce772a806612a2,False,False,False,False
CWE-401,linux-853acf7caf10b828102d92d05b5c101666a6142b^,https://github.com/torvalds/linux/commit/853acf7caf10b828102d92d05b5c101666a6142b,False,False,False,False
CWE-401,linux-ceabee6c59943bdd5e1da1a6a20dc7ee5f8113a2^,https://github.com/torvalds/linux/commit/ceabee6c59943bdd5e1da1a6a20dc7ee5f8113a2,False,False,False,False
CWE-401,linux-6caabe7f197d3466d238f70915d65301f1716626^,https://github.com/torvalds/linux/commit/6caabe7f197d3466d238f70915d65301f1716626,False,False,False,False
CWE-401,linux-07f12b26e21ab359261bf75cfcb424fdc7daeb6d^,https://github.com/torvalds/linux/commit/07f12b26e21ab359261bf75cfcb424fdc7daeb6d,False,False,False,False
CWE-416,linux-6709d4b7bc2e079241fdef15d1160581c5261c10^,https://github.com/torvalds/linux/commit/6709d4b7bc2e079241fdef15d1160581c5261c10,False,False,False,False
CWE-416,linux-cb090e64cf25602b9adaf32d5dfc9c8bec493cd1^,https://github.com/torvalds/linux/commit/cb090e64cf25602b9adaf32d5dfc9c8bec493cd1,False,False,False,False
CWE-416,linux-29b0589a865b6f66d141d79b2dd1373e4e50fe17^,https://github.com/torvalds/linux/commit/29b0589a865b6f66d141d79b2dd1373e4e50fe17,False,False,False,False
CWE-416,linux-153695d36ead0ccc4d0256953c751cabf673e621^,https://github.com/torvalds/linux/commit/153695d36ead0ccc4d0256953c751cabf673e621,False,False,False,False
CWE-416,linux-cf6531d98190fa2cf92a6d8bbc8af0a4740a223c^,https://github.com/torvalds/linux/commit/cf6531d98190fa2cf92a6d8bbc8af0a4740a223c,False,False,False,False
CWE-416,linux-9e7fef9521e73ca8afd7da9e58c14654b02dfad8^,https://github.com/torvalds/linux/commit/9e7fef9521e73ca8afd7da9e58c14654b02dfad8,False,False,False,False
CWE-416,linux-d270453a0d9ec10bb8a802a142fb1b3601a83098^,https://github.com/torvalds/linux/commit/d270453a0d9ec10bb8a802a142fb1b3601a83098,False,False,False,False
CWE-416,linux-b561275d633bcd8e0e8055ab86f1a13df75a0269^,https://github.com/torvalds/linux/commit/b561275d633bcd8e0e8055ab86f1a13df75a0269,False,False,False,False
CWE-416,linux-4e0f718daf97d47cf7dec122da1be970f145c809^,https://github.com/torvalds/linux/commit/4e0f718daf97d47cf7dec122da1be970f145c809,False,False,False,False
CWE-416,linux-6a3eb3360667170988f8a6477f6686242061488a^,https://github.com/torvalds/linux/commit/6a3eb3360667170988f8a6477f6686242061488a,False,False,False,False
CWE-476,linux-4a625ceee8a0ab0273534cb6b432ce6b331db5ee^,https://github.com/torvalds/linux/commit/4a625ceee8a0ab0273534cb6b432ce6b331db5ee,False,False,False,False
CWE-476,linux-45af1d7aae7d5520d2858f8517a1342646f015db^,https://github.com/torvalds/linux/commit/45af1d7aae7d5520d2858f8517a1342646f015db,False,False,False,False
CWE-476,linux-580077855a40741cf511766129702d97ff02f4d9^,https://github.com/torvalds/linux/commit/580077855a40741cf511766129702d97ff02f4d9,False,False,False,False
CWE-476,linux-15342f930ebebcfe36f2415049736a77d7d2e045^,https://github.com/torvalds/linux/commit/15342f930ebebcfe36f2415049736a77d7d2e045,False,False,False,False
CWE-476,linux-ec4eb8a86ade4d22633e1da2a7d85a846b7d1798^,https://github.com/torvalds/linux/commit/ec4eb8a86ade4d22633e1da2a7d85a846b7d1798,False,False,False,False
CWE-476,linux-5593473a1e6c743764b08e3b6071cb43b5cfa6c4^,https://github.com/torvalds/linux/commit/5593473a1e6c743764b08e3b6071cb43b5cfa6c4,False,False,False,False
CWE-476,linux-a53046291020ec41e09181396c1e829287b48d47^,https://github.com/torvalds/linux/commit/a53046291020ec41e09181396c1e829287b48d47,False,False,False,False
CWE-476,linux-fc6d01ff9ef03b66d4a3a23b46fc3c3d8cf92009^,https://github.com/torvalds/linux/commit/fc6d01ff9ef03b66d4a3a23b46fc3c3d8cf92009,False,False,False,False
CWE-476,linux-3ba880a12df5aa4488c18281701b5b1bc3d4531a^,https://github.com/torvalds/linux/commit/3ba880a12df5aa4488c18281701b5b1bc3d4531a,False,False,False,False
CWE-476,linux-b52fe2dbb3e655eb1483000adfab68a219549e13^,https://github.com/torvalds/linux/commit/b52fe2dbb3e655eb1483000adfab68a219549e13,False,False,False,False
CWE-476,linux-6845667146a28c09b5dfc401c1ad112374087944^,https://github.com/torvalds/linux/commit/6845667146a28c09b5dfc401c1ad112374087944,False,False,False,False
CWE-476,linux-045a31b95509c8f25f5f04ec5e0dec5cd09f2c5f^,https://github.com/torvalds/linux/commit/045a31b95509c8f25f5f04ec5e0dec5cd09f2c5f,False,False,False,False
CWE-476,linux-e4571b8c5e9ffa1e85c0c671995bd4dcc5c75091^,https://github.com/torvalds/linux/commit/e4571b8c5e9ffa1e85c0c671995bd4dcc5c75091,False,False,False,False
CWE-476,linux-2e7682ebfc750177a4944eeb56e97a3f05734528^,https://github.com/torvalds/linux/commit/2e7682ebfc750177a4944eeb56e97a3f05734528,False,False,False,False
